"city_state","Agency_Type"
"Akron,OH","City"
"Albuquerque,NM","City"
"Antioch,CA","City"
"Barnstable,MA","City"
"Baton Rouge,LA","City"
"Boston,MA","City"
"Brockton,MA","City"
"Brookline,MA","City"
"Cambridge,MA","City"
"Canton,OH","City"
"Chicopee,MA","City"
"Cincinnati,OH","City"
"Cleveland,OH","City"
"Colerain Township,OH","City"
"Columbus,OH","City"
"Concord,CA","City"
"Cuyahoga Falls,OH","City"
"Dayton,OH","City"
"Delaware,OH","County"
"Dublin,OH","City"
"Elyria,OH","City"
"Euclid,OH","City"
"Everett,MA","City"
"Fall River,MA","City"
"Fort Wayne,IN","City"
"Framingham,MA","City"
"Fremont,CA","City"
"Green Township,OH","City"
"Hamilton,OH","City"
"Hamilton,OH","County"
"Haverhill,MA","City"
"Howard,MD","County"
"Kettering,OH","City"
"Lakewood,OH","City"
"Lawrence,MA","City"
"Lorain,OH","City"
"Lowell,MA","City"
"Lynn,MA","City"
"Malden,MA","City"
"Medford,MA","City"
"Methuen,MA","City"
"Middletown,OH","City"
"Nashua,NH","City"
"Nassau,NY","County"
"New Bedford,MA","City"
"Newark,OH","City"
"Newton,MA","City"
"North Bergen Township,NJ","City"
"Parma,OH","City"
"Peabody,MA","City"
"Phoenix,AZ","City"
"Plymouth,MA","City"
"Quincy,MA","City"
"Revere,MA","City"
"San Bernardino,CA","City"
"Santa Monica,CA","City"
"Somerville,MA","City"
"Springfield,MA","City"
"Springfield,OH","City"
"St Joseph,IN","County"
"Stark,OH","County"
"Taunton,MA","City"
"Toledo,OH","City"
"Waltham,MA","City"
"Warren,OH","County"
"Washoe,NV","County"
"West Chester Township,OH","City"
"Weymouth,MA","City"
"Worcester,MA","City"
"Wright,MN","County"
"Youngstown,OH","City"
"Abilene,TX","City"
"Adams,CO","County"
"Albany,NY","City"
"Albany,OR","City"
"Alpharetta,GA","City"
"Amarillo,TX","City"
"Anderson,IN","City"
"Apex,NC","City"
"Arapahoe,CO","County"
"Arcadia,CA","City"
"Bartlett,TN","City"
"Beaufort,SC","County"
"Beaverton,OR","City"
"Bensalem,PA","City"
"Bexar,TX","County"
"Bloomington,IN","City"
"Boise,ID","City"
"Bossier City,LA","City"
"Boulder,CO","City"
"Brookhaven,GA","City"
"Buena Park,CA","City"
"Caldwell,ID","City"
"Centennial,CO","City"
"Chesapeake,VA","City"
"Chesterfield,VA","County"
"Clackamas,OR","County"
"Clarksville,TN","City"
"Clinton Township,MI","City"
"Colonie Town,NY","City"
"Corvallis,OR","City"
"Eugene,OR","City"
"Evansville,IN","City"
"Fairfax,VA","County"
"Flagstaff,AZ","City"
"Florissant,MO","City"
"Forsyth,GA","County"
"Fort Collins,CO","City"
"Fort Smith,AR","City"
"Glendale,AZ","City"
"Greeley,CO","City"
"Hall,GA","County"
"Hamden,CT","City"
"Hammond,IN","City"
"Haverford,PA","City"
"Hempstead Village,NY","City"
"Henry,GA","County"
"Horry,SC","County"
"Jeffersonville,IN","City"
"Johns Creek,GA","City"
"Jonesboro,AR","City"
"Kalamazoo,MI","City"
"Kentwood,MI","City"
"Kokomo,IN","City"
"Lafayette,LA","City"
"Lakewood,CO","City"
"Lansing,MI","City"
"Lincoln,CA","City"
"Livingston,MI","County"
"Longmont,CO","City"
"Lynchburg,VA","City"
"Macomb,MI","County"
"Madison,WI","City"
"Marietta,GA","City"
"Meriden,CT","City"
"Mesa,AZ","City"
"Milwaukee,WI","City"
"Mission Viejo,CA","City"
"Monterey Park,CA","City"
"Mount Prospect,IL","City"
"Nampa,ID","City"
"Napa,CA","City"
"New Haven,CT","City"
"New Rochelle,NY","City"
"Newport Beach,CA","City"
"Newport News,VA","City"
"Noblesville,IN","City"
"Normal,IL","City"
"Norwalk,CT","City"
"Ottawa,MI","County"
"Owensboro,KY","City"
"Paulding,GA","County"
"Peoria,AZ","City"
"Pinal,AZ","County"
"Pocatello,ID","City"
"Port Arthur,TX","City"
"Prince William,VA","County"
"Provo,UT","City"
"Pueblo,CO","City"
"Rapid City,SD","City"
"Reno,NV","City"
"Rochester,MN","City"
"Rocky Mount,NC","City"
"Roseville,CA","City"
"Roswell,GA","City"
"Salem,OR","City"
"San Mateo,CA","City"
"San Rafael,CA","City"
"Sandy,UT","City"
"Santa Maria,CA","City"
"Santa Rosa,CA","City"
"Saratoga,NY","County"
"Schenectady,NY","City"
"Scottsdale,AZ","City"
"Shreveport,LA","City"
"Spokane Valley,WA","City"
"Springfield,MO","City"
"Springfield,OR","City"
"St. Mary's,MD","County"
"Stafford,VA","County"
"Sterling Heights,MI","City"
"Surprise,AZ","City"
"Temple,TX","City"
"Terre Haute,IN","City"
"Tigard,OR","City"
"Tustin,CA","City"
"Union,NC","County"
"Utica,NY","City"
"Visalia,CA","City"
"Wake Forest,NC","City"
"Warner Robins,GA","City"
"Waukesha,WI","City"
"Westminster,CO","City"
"Williamson,TX","County"
"Winston-Salem,NC","City"
"Wylie,TX","City"
"Yakima,WA","City"
"Yuma,AZ","City"
"Muncie,IN","City"
"Novato,CA","City"
"Westland,MI","City"
"Jacksonville,NC","City"
"Midland,TX","City"
"Mission,TX","City"
"Davidson,NC","County"
