"city_state","Agency_Type"
"Appleton,WI","City"
"Baton Rouge,LA","City"
"Clackamas,OR","County"
"Concord,CA","City"
"Eau Claire,WI","City"
"Fontana,CA","City"
"Fremont,CA","City"
"Green Bay,WI","City"
"Henderson,NV","City"
"Howard,MD","County"
"Janesville,WI","City"
"Kenosha,WI","City"
"La Crosse,WI","City"
"Madison,WI","City"
"Milpitas,CA","City"
"Milwaukee,WI","City"
"Nashua,NH","City"
"Nassau,NY","County"
"Norman,OK","City"
"North Las Vegas,NV","City"
"Oshkosh,WI","City"
"Pima,AZ","County"
"Pinal,AZ","County"
"Pittsfield,MA","City"
"Racine,WI","City"
"Reno,NV","City"
"San Bernardino,CA","City"
"Santa Monica,CA","City"
"Sparks,NV","City"
"St Joseph,IN","County"
"Washoe,NV","County"
"Waukesha,WI","City"
"West Allis,WI","City"
"Westminster,CA","City"
"Abilene,TX","City"
"Adams,CO","County"
"Akron,OH","City"
"Albany,NY","City"
"Albany,OR","City"
"Alexandria,VA","City"
"Anderson,IN","City"
"Apex,NC","City"
"Barnstable,MA","City"
"Beaufort,SC","County"
"Bensalem,PA","City"
"Berkeley,CA","City"
"Bexar,TX","County"
"Bloomington,IN","City"
"Boise,ID","City"
"Bossier City,LA","City"
"Bowling Green,KY","City"
"Bridgeport,CT","City"
"Brookline,MA","City"
"Caldwell,ID","City"
"Casa Grande,AZ","City"
"Chapel Hill,NC","City"
"Cleveland,OH","City"
"Clinton Township,MI","City"
"Colonie Town,NY","City"
"Corvallis,OR","City"
"Daly City,CA","City"
"Danbury,CT","City"
"Davidson,NC","County"
"Des Plaines,IL","City"
"Dublin,OH","City"
"Durham,NC","City"
"Elkhart,IN","City"
"Evanston,IL","City"
"Evansville,IN","City"
"Fairfax,VA","County"
"Fall River,MA","City"
"Flagstaff,AZ","City"
"Florissant,MO","City"
"Framingham,MA","City"
"Glendale,AZ","City"
"Hamden,CT","City"
"Hamilton,OH","City"
"Hammond,IN","City"
"Haverford,PA","City"
"Hempstead Village,NY","City"
"Jacksonville,NC","City"
"Jeffersonville,IN","City"
"Jonesboro,AR","City"
"Kalamazoo,MI","City"
"Kalamazoo,MI","County"
"Kentwood,MI","City"
"Kokomo,IN","City"
"Lakewood,CO","City"
"Lakewood,OH","City"
"Lansing,MI","City"
"Longmont,CO","City"
"Loudoun,VA","County"
"Loveland,CO","City"
"Lowell,MA","City"
"Lubbock,TX","City"
"Macomb,MI","County"
"Manchester,CT","City"
"Marietta,GA","City"
"Medford,MA","City"
"Medford,OR","City"
"Methuen,MA","City"
"Middletown,OH","City"
"Mooresville,NC","City"
"Mount Prospect,IL","City"
"New Haven,CT","City"
"New Rochelle,NY","City"
"Newark,NJ","City"
"Newton,MA","City"
"Normal,IL","City"
"Norwalk,CT","City"
"Onslow,NC","County"
"Ottawa,MI","County"
"Owensboro,KY","City"
"Parma,OH","City"
"Pasadena,TX","City"
"Peabody,MA","City"
"Peoria,AZ","City"
"Plymouth,MA","City"
"Prince William,VA","County"
"Provo,UT","City"
"Pueblo,CO","City"
"Rapid City,SD","City"
"Redmond,WA","City"
"Rochester,MI","City"
"Rochester,MN","City"
"Rocky Mount,NC","City"
"Sacramento,CA","County"
"Salem,OR","City"
"Sandy,UT","City"
"Saratoga Springs,UT","City"
"Saratoga,NY","County"
"Schenectady,NY","City"
"Spokane Valley,WA","City"
"Springfield,MA","City"
"Springfield,MO","City"
"Springfield,OR","City"
"St. Mary's,MD","County"
"St. Paul,MN","City"
"Stafford,VA","County"
"Temple,TX","City"
"Terre Haute,IN","City"
"Texas City,TX","City"
"Toledo,OH","City"
"Union,NC","County"
"Utica,NY","City"
"West Chester Township,OH","City"
"Westfield,IN","City"
"Winston-Salem,NC","City"
"Worcester,MA","City"
"Yakima,WA","City"
"Youngstown,OH","City"
"Muncie,IN","City"
"Novato,CA","City"
"Cuyahoga Falls,OH","City"
"Kettering,OH","City"
"Midland,TX","City"
